time,temp,dwpt,rhum,prcp,wdir,wspd,pres
1/1/2008 0:00,0,-1.1,92,,140,5.4,1009.4
1/1/2008 1:00,0,-1.1,92,0.5,20,5.4,1009.3
1/1/2008 2:00,0,-1.1,92,1.3,330,16.6,1009.2
1/1/2008 3:00,-0.6,-1.7,92,1.3,340,20.5,1009.3
1/1/2008 4:00,-1.1,-2.2,92,1,340,24.1,1009.8
1/1/2008 5:00,-1.7,-3.3,89,,320,31.7,1010.7
1/1/2008 6:00,-2.8,-5,85,,310,29.5,1012
1/1/2008 7:00,-3.9,-5.6,88,,300,27.7,1012.7
1/1/2008 8:00,-4.4,-6.7,84,,310,24.1,1014
1/1/2008 9:00,-5,-7.8,81,,310,27.7,1015.2
1/1/2008 10:00,-5,-7.8,81,,310,27.7,1016
1/1/2008 11:00,-5,-7.8,81,,290,16.6,1017
1/1/2008 12:00,-5.6,-7.9,84,,300,18.4,1017.8
1/1/2008 13:00,-6.1,-9.5,77,,300,20.5,1018.6
1/1/2008 14:00,-6.1,-9.5,77,0,300,18.4,1019
1/1/2008 15:00,-6.1,-10,74,,290,18.4,1019.9
1/1/2008 16:00,-6.1,-9.5,77,,290,20.5,1020.6
1/1/2008 17:00,-6.1,-9.5,77,,290,20.5,1021
1/1/2008 18:00,-6.1,-9.5,77,,310,20.5,1020.9
1/1/2008 19:00,-6.1,-9.5,77,,300,20.5,1021.1
1/1/2008 20:00,-6.7,-10.1,77,,310,22.3,1021.8
1/1/2008 21:00,-7.2,-10.5,77,,300,27.7,1022.6
1/1/2008 22:00,-7.8,-10.6,80,,300,22.3,1023.9
1/1/2008 23:00,-9,-13,73,,310,33.5,
1/2/2008 0:00,-9.4,-12.8,76,,290,20.5,1026.3
1/2/2008 1:00,-10.6,-15,70,,300,25.9,1027.1
1/2/2008 2:00,-11.7,-16.1,70,0,300,29.5,1027.7
1/2/2008 3:00,-13.3,-17.3,72,0,300,29.5,1028.3
1/2/2008 4:00,-13.9,-18.4,69,0,300,24.1,1028.8
1/2/2008 5:00,-14.4,-18.8,69,0,300,24.1,1029.3
1/2/2008 6:00,-15.6,-19.3,73,0,300,25.9,1029.8
1/2/2008 7:00,-15.6,-20,69,0,300,24.1,1030
1/2/2008 8:00,-16.1,-20,72,0,300,24.1,1030.8
1/2/2008 9:00,-16.7,-20.6,72,0,290,18.4,1031.3
1/2/2008 10:00,-17,-20.1,77,0,290,22.3,
1/2/2008 11:00,-15.6,-19.3,73,0,300,18.4,1032.8
1/2/2008 12:00,-16.7,-19.9,76,0,290,13,1033.5
1/2/2008 13:00,-16.1,-19.4,76,,300,18.4,1034.4
1/2/2008 14:00,-14.4,-17.9,75,,290,16.6,1034.8
1/2/2008 15:00,-13.9,-16.8,79,,300,18.4,1036.2
1/2/2008 16:00,-11.7,-15.6,73,,310,16.6,1036.9
1/2/2008 17:00,-9.4,-13.9,70,0,330,20.5,1037
1/2/2008 18:00,-8.3,-13.3,67,0,310,22.3,1037
1/2/2008 19:00,-7.2,-12.9,64,0,300,18.4,1037.5
1/2/2008 20:00,-6.7,-12.8,62,0,300,18.4,1037.4
1/2/2008 21:00,-7.2,-12.9,64,0,290,16.6,1038.2
1/2/2008 22:00,-7.2,-13.2,62,0,280,16.6,1038.7
1/2/2008 23:00,-8.9,-13.9,67,0,290,20.5,1039.8
1/3/2008 0:00,-9.4,-14.4,67,0,290,16.6,1040.3
1/3/2008 1:00,-10.6,-15,70,0,280,13,1041
1/3/2008 2:00,-12.2,-16,73,0,280,11.2,1041.4
1/3/2008 3:00,-12.8,-16.6,73,0,290,11.2,1041.6
1/3/2008 4:00,-13.3,-17.8,69,0,290,13,1041.5
1/3/2008 5:00,-13.9,-17.9,72,0,280,11.2,1041.7
1/3/2008 6:00,-14.4,-17.9,75,0,270,5.4,1040.9
1/3/2008 7:00,-15,-18.3,76,0,280,7.6,1040.8
1/3/2008 8:00,-15.6,-18.3,80,0,250,5.4,1040.9
1/3/2008 9:00,-16.1,-18.9,79,0,250,5.4,1040.9
1/3/2008 10:00,-16.7,-18.9,83,0,240,5.4,1041.2
1/3/2008 11:00,-17.2,-19.4,83,0,230,7.6,1040.9
1/3/2008 12:00,-17.8,-20,83,0,220,9.4,1041
1/3/2008 13:00,-17.8,-20,83,0,220,5.4,1040.8
1/3/2008 14:00,-17.8,-19.4,87,0,180,7.6,1040.2
1/3/2008 15:00,-15.6,-18.9,76,0,200,14.8,1040
1/3/2008 16:00,-12.2,-16.7,69,0,210,14.8,1039.7
1/3/2008 17:00,-10.6,-16.1,64,0,200,20.5,1039
1/3/2008 18:00,-8.3,-15.1,58,0,220,22.3,1037.7
1/3/2008 19:00,-7.2,-13.9,59,0,200,24.1,1036.6
1/3/2008 20:00,-6.7,-13.8,57,0,190,22.3,1034.7
1/3/2008 21:00,-6.7,-13.4,59,0,180,29.5,1033.3
1/3/2008 22:00,-7.2,-13.9,59,0,190,25.9,1032.9
1/3/2008 23:00,-8.3,-12.8,70,0,190,24.1,1032.4
1/4/2008 0:00,-7.8,-11.6,74,0,190,25.9,1031.7
1/4/2008 1:00,-7.2,-11,74,0,190,25.9,1030.9
1/4/2008 2:00,-6.1,-10.7,70,0,200,31.7,1030.2
1/4/2008 3:00,-5.6,-10.6,68,0,200,27.7,1029.8
1/4/2008 4:00,-5.6,-10,71,0,190,31.7,1029.4
1/4/2008 5:00,-5,-10,68,0,200,29.5,1029
1/4/2008 6:00,-5,-10,68,0,210,27.7,1028.5
1/4/2008 7:00,-5,-10,68,0,210,24.1,1028
1/4/2008 8:00,-5,-10,68,0,210,20.5,1027.9
1/4/2008 9:00,-5.6,-10,71,0,200,20.5,1027.7
1/4/2008 10:00,-5,-9.4,71,0,200,16.6,1027
1/4/2008 11:00,-4.4,-8.9,71,0,200,20.5,1026.9
1/4/2008 12:00,-3.9,-8.9,68,0,200,18.4,1026.6
1/4/2008 13:00,-3.9,-8.9,68,0,190,22.3,1026.1
1/4/2008 14:00,-3.9,-8.9,68,0,200,22.3,1025.8
1/4/2008 15:00,-3.3,-8.9,65,0,200,29.5,1025.6
1/4/2008 16:00,-2.8,-8.9,63,0,200,24.1,1025.6
1/4/2008 17:00,-2.2,-8.9,60,0,210,25.9,1024.8
