,Unnamed: 0,CRSDep,CRSDepRound,ActDep,DepDelay,Origin,Dest,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Temp,DewPoint,RelHumidity,Precip,WindDir,WindSpeed,AirPressure
8198,8198,2008-01-01 05:00:00,2008-01-01 05:00:00,2008-01-01 08:25:00,205,ORD,PHX,205.0,0.0,29.0,0.0,0.0,-1.7,-3.3,89.0,,320.0,31.7,1010.7
1427,1427,2008-01-01 06:10:00,2008-01-01 06:00:00,2008-01-01 06:47:00,37,ORD,CVG,44.0,0.0,0.0,0.0,0.0,-2.8,-5.0,85.0,,310.0,29.5,1012.0
1508,1508,2008-01-01 06:00:00,2008-01-01 06:00:00,2008-01-01 06:09:00,9,ORD,SYR,22.0,0.0,0.0,0.0,0.0,-2.8,-5.0,85.0,,310.0,29.5,1012.0
3400,3400,2008-01-01 06:00:00,2008-01-01 06:00:00,2008-01-01 06:14:00,14,ORD,LAX,,,,,,-2.8,-5.0,85.0,,310.0,29.5,1012.0
1436,1436,2008-01-01 06:41:00,2008-01-01 07:00:00,2008-01-01 06:46:00,5,ORD,DFW,0.0,38.0,0.0,0.0,0.0,-3.9,-5.6,88.0,,300.0,27.7,1012.7
6596,6596,2008-01-01 07:00:00,2008-01-01 07:00:00,2008-01-01 07:52:00,52,ORD,SFO,28.0,0.0,0.0,0.0,0.0,-3.9,-5.6,88.0,,300.0,27.7,1012.7
1489,1489,2008-01-01 06:58:00,2008-01-01 07:00:00,2008-01-01 07:03:00,5,ORD,TVC,17.0,0.0,0.0,0.0,0.0,-3.9,-5.6,88.0,,300.0,27.7,1012.7
1440,1440,2008-01-01 08:15:00,2008-01-01 08:00:00,2008-01-01 08:37:00,22,ORD,ASE,23.0,0.0,0.0,0.0,0.0,-4.4,-6.7,84.0,,310.0,24.1,1014.0
1448,1448,2008-01-01 08:04:00,2008-01-01 08:00:00,2008-01-01 08:22:00,18,ORD,IAH,28.0,0.0,0.0,0.0,0.0,-4.4,-6.7,84.0,,310.0,24.1,1014.0
1504,1504,2008-01-01 08:18:00,2008-01-01 08:00:00,2008-01-01 08:41:00,23,ORD,CHS,0.0,0.0,0.0,0.0,28.0,-4.4,-6.7,84.0,,310.0,24.1,1014.0
1429,1429,2008-01-01 09:00:00,2008-01-01 09:00:00,2008-01-01 10:00:00,60,ORD,BTV,0.0,0.0,0.0,0.0,105.0,-5.0,-7.8,81.0,,310.0,27.7,1015.2
96,96,2008-01-01 09:00:00,2008-01-01 09:00:00,2008-01-01 11:44:00,164,ORD,ABE,160.0,0.0,0.0,0.0,0.0,-5.0,-7.8,81.0,,310.0,27.7,1015.2
1432,1432,2008-01-01 09:00:00,2008-01-01 09:00:00,2008-01-01 11:40:00,160,ORD,ROA,0.0,0.0,0.0,0.0,154.0,-5.0,-7.8,81.0,,310.0,27.7,1015.2
1443,1443,2008-01-01 10:14:00,2008-01-01 10:00:00,2008-01-01 10:42:00,28,ORD,BOI,61.0,0.0,0.0,0.0,0.0,-5.0,-7.8,81.0,,310.0,27.7,1016.0
113,113,2008-01-01 09:40:00,2008-01-01 10:00:00,2008-01-01 10:19:00,39,ORD,CAK,44.0,0.0,0.0,0.0,0.0,-5.0,-7.8,81.0,,310.0,27.7,1016.0
123,123,2008-01-01 09:45:00,2008-01-01 10:00:00,2008-01-01 10:06:00,21,ORD,DSM,44.0,0.0,0.0,0.0,0.0,-5.0,-7.8,81.0,,310.0,27.7,1016.0
119,119,2008-01-01 11:02:00,2008-01-01 11:00:00,2008-01-01 11:02:00,0,ORD,CLT,,,,,,-5.0,-7.8,81.0,,290.0,16.6,1017.0
128,128,2008-01-01 11:09:00,2008-01-01 11:00:00,2008-01-01 11:12:00,3,ORD,GRR,26.0,0.0,0.0,0.0,0.0,-5.0,-7.8,81.0,,290.0,16.6,1017.0
1438,1438,2008-01-01 11:30:00,2008-01-01 11:00:00,2008-01-01 11:57:00,27,ORD,PIT,0.0,0.0,0.0,0.0,42.0,-5.0,-7.8,81.0,,290.0,16.6,1017.0
133,133,2008-01-01 12:00:00,2008-01-01 12:00:00,2008-01-01 12:20:00,20,ORD,OKC,0.0,0.0,0.0,0.0,31.0,-5.6,-7.9,84.0,,300.0,18.4,1017.8
99,99,2008-01-01 11:55:00,2008-01-01 12:00:00,2008-01-01 12:04:00,9,ORD,ATW,,,,,,-5.6,-7.9,84.0,,300.0,18.4,1017.8
1430,1430,2008-01-01 12:30:00,2008-01-01 12:00:00,2008-01-01 12:30:00,0,ORD,OMA,,,,,,-5.6,-7.9,84.0,,300.0,18.4,1017.8
100,100,2008-01-01 13:15:00,2008-01-01 13:00:00,2008-01-01 14:01:00,46,ORD,AUS,0.0,0.0,0.0,0.0,40.0,-6.1,-9.5,77.0,,300.0,20.5,1018.6
105,105,2008-01-01 13:10:00,2008-01-01 13:00:00,2008-01-01 13:28:00,18,ORD,BNA,0.0,29.0,0.0,0.0,0.0,-6.1,-9.5,77.0,,300.0,20.5,1018.6
103,103,2008-01-01 13:13:00,2008-01-01 13:00:00,2008-01-01 13:13:00,0,ORD,BMI,,,,,,-6.1,-9.5,77.0,,300.0,20.5,1018.6
95,95,2008-01-01 14:18:00,2008-01-01 14:00:00,2008-01-01 14:26:00,8,ORD,ABE,0.0,0.0,43.0,0.0,0.0,-6.1,-9.5,77.0,0.0,300.0,18.4,1019.0
115,115,2008-01-01 14:27:00,2008-01-01 14:00:00,2008-01-01 14:27:00,0,ORD,CAK,,,,,,-6.1,-9.5,77.0,0.0,300.0,18.4,1019.0
112,112,2008-01-01 14:10:00,2008-01-01 14:00:00,2008-01-01 14:10:00,0,ORD,CAE,0.0,0.0,21.0,0.0,0.0,-6.1,-9.5,77.0,0.0,300.0,18.4,1019.0
1435,1435,2008-01-01 14:50:00,2008-01-01 15:00:00,2008-01-01 16:21:00,91,ORD,CLE,0.0,0.0,0.0,0.0,146.0,-6.1,-10.0,74.0,,290.0,18.4,1019.9
121,121,2008-01-01 14:50:00,2008-01-01 15:00:00,2008-01-01 14:54:00,4,ORD,COS,,,,,,-6.1,-10.0,74.0,,290.0,18.4,1019.9
98,98,2008-01-01 14:45:00,2008-01-01 15:00:00,2008-01-01 17:17:00,152,ORD,ATW,0.0,0.0,0.0,0.0,159.0,-6.1,-10.0,74.0,,290.0,18.4,1019.9
109,109,2008-01-01 16:18:00,2008-01-01 16:00:00,2008-01-01 16:32:00,14,ORD,BUF,64.0,0.0,0.0,0.0,0.0,-6.1,-9.5,77.0,,290.0,20.5,1020.6
8,8,2008-01-01 16:00:00,2008-01-01 16:00:00,2008-01-01 16:52:00,52,ORD,EWR,0.0,0.0,51.0,0.0,0.0,-6.1,-9.5,77.0,,290.0,20.5,1020.6
107,107,2008-01-01 15:45:00,2008-01-01 16:00:00,2008-01-01 16:05:00,20,ORD,BNA,44.0,0.0,0.0,0.0,0.0,-6.1,-9.5,77.0,,290.0,20.5,1020.6
135,135,2008-01-01 16:33:00,2008-01-01 17:00:00,2008-01-01 18:02:00,89,ORD,PIT,0.0,0.0,0.0,0.0,103.0,-6.1,-9.5,77.0,,290.0,20.5,1021.0
1446,1446,2008-01-01 16:53:00,2008-01-01 17:00:00,2008-01-01 18:27:00,94,ORD,MSN,0.0,0.0,0.0,0.0,98.0,-6.1,-9.5,77.0,,290.0,20.5,1021.0
1437,1437,2008-01-01 17:14:00,2008-01-01 17:00:00,2008-01-01 17:43:00,29,ORD,FSD,0.0,0.0,0.0,0.0,34.0,-6.1,-9.5,77.0,,290.0,20.5,1021.0
120,120,2008-01-01 18:00:00,2008-01-01 18:00:00,2008-01-01 19:23:00,83,ORD,CLT,0.0,0.0,0.0,0.0,78.0,-6.1,-9.5,77.0,,310.0,20.5,1020.9
1468,1468,2008-01-01 17:38:00,2008-01-01 18:00:00,2008-01-01 19:25:00,107,ORD,XNA,0.0,0.0,0.0,0.0,102.0,-6.1,-9.5,77.0,,310.0,20.5,1020.9
110,110,2008-01-01 18:15:00,2008-01-01 18:00:00,2008-01-01 20:29:00,134,ORD,CAE,134.0,0.0,0.0,0.0,0.0,-6.1,-9.5,77.0,,310.0,20.5,1020.9
97,97,2008-01-01 19:15:00,2008-01-01 19:00:00,2008-01-01 20:51:00,96,ORD,ABE,0.0,0.0,0.0,0.0,88.0,-6.1,-9.5,77.0,,300.0,20.5,1021.1
132,132,2008-01-01 19:30:00,2008-01-01 19:00:00,2008-01-01 21:40:00,130,ORD,MBS,0.0,0.0,133.0,0.0,0.0,-6.1,-9.5,77.0,,300.0,20.5,1021.1
114,114,2008-01-01 19:30:00,2008-01-01 19:00:00,2008-01-01 20:39:00,69,ORD,CAK,0.0,0.0,0.0,0.0,72.0,-6.1,-9.5,77.0,,300.0,20.5,1021.1
1445,1445,2008-01-01 19:31:00,2008-01-01 20:00:00,2008-01-01 21:52:00,141,ORD,TVC,0.0,0.0,0.0,0.0,134.0,-6.7,-10.1,77.0,,310.0,22.3,1021.8
1447,1447,2008-01-01 19:55:00,2008-01-01 20:00:00,2008-01-01 22:38:00,163,ORD,OKC,0.0,0.0,0.0,0.0,140.0,-6.7,-10.1,77.0,,310.0,22.3,1021.8
102,102,2008-01-01 19:35:00,2008-01-01 20:00:00,2008-01-01 19:35:00,0,ORD,BHM,,,,,,-6.7,-10.1,77.0,,310.0,22.3,1021.8
108,108,2008-01-01 21:25:00,2008-01-01 21:00:00,2008-01-01 22:55:00,90,ORD,BUF,0.0,0.0,0.0,0.0,89.0,-7.2,-10.5,77.0,,300.0,27.7,1022.6
101,101,2008-01-01 20:59:00,2008-01-01 21:00:00,2008-01-01 21:25:00,26,ORD,BDL,27.0,0.0,0.0,0.0,0.0,-7.2,-10.5,77.0,,300.0,27.7,1022.6
106,106,2008-01-01 21:15:00,2008-01-01 21:00:00,2008-01-01 23:54:00,159,ORD,BNA,156.0,0.0,0.0,0.0,0.0,-7.2,-10.5,77.0,,300.0,27.7,1022.6
122,122,2008-01-01 22:20:00,2008-01-01 22:00:00,2008-01-01 23:40:00,80,ORD,DSM,69.0,0.0,0.0,0.0,0.0,-7.8,-10.6,80.0,,300.0,22.3,1023.9
